Date,Time,Temperature [C],Humidity [%], Pressure [mmHg]

2023-04-17,13:06:00,23.36,54.05,753
2023-04-17,13:07:00,23.62,42.26,753
2023-04-17,13:08:00,23.71,42.33,753
2023-04-17,13:18:00,23.74,41.45,753
2023-04-17,13:28:00,23.77,42.42,753
2023-04-17,13:43:00,23.77,41.20,753
2023-04-17,13:58:00,23.50,54.58,753
2023-04-18,12:01:00,23.92,41.70,757
2023-04-18,12:02:00,23.97,45.57,757
2023-04-18,12:03:00,23.99,43.60,757
2023-04-18,12:04:00,24.00,41.85,757
2023-04-18,12:05:00,24.03,42.80,757
2023-04-18,12:06:00,23.82,54.60,757
2023-04-18,12:07:00,23.88,43.57,757
2023-04-18,12:08:00,23.92,44.14,757
2023-04-18,12:09:00,23.94,43.20,757
2023-04-18,12:10:00,23.95,42.31,757
2023-04-18,12:11:00,23.96,43.38,757
2023-04-18,12:12:00,23.66,51.66,757
2023-04-18,12:13:00,23.84,44.76,757
2023-04-18,12:14:00,23.98,57.43,757
2023-04-18,12:15:00,23.99,43.05,757
2023-04-18,12:16:00,24.03,44.23,757
2023-04-18,12:17:00,24.07,45.32,757
2023-04-18,12:18:00,24.06,42.85,757
2023-04-18,12:19:09,24.08,42.65,757
2023-04-18,12:20:09,24.15,45.86,757